X,Y,nom_dept,nom_com,insee_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x_l93,y_l93,ObjectId
1.44403,43.5873,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Berthelot Urbain,FR50030,Urbaine,Fond,PM2.5,6001,7.2,ug.m-3,mensuelle,2023/05/01 00:00:00+00,2023/05/31 23:59:00+00,t,574306,6277713,2072
1.44403,43.5873,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Berthelot Urbain,FR50030,Urbaine,Fond,PM2.5,6001,8.2,ug.m-3,mensuelle,2023/06/01 00:00:00+00,2023/06/30 23:59:00+00,t,574306,6277713,2073
1.44403,43.5873,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Berthelot Urbain,FR50030,Urbaine,Fond,PM2.5,6001,7.1,ug.m-3,mensuelle,2023/07/01 00:00:00+00,2023/07/31 23:59:00+00,t,574306,6277713,2075
1.44403,43.5873,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Berthelot Urbain,FR50030,Urbaine,Fond,PM2.5,6001,7.3,ug.m-3,mensuelle,2023/08/01 00:00:00+00,2023/08/31 23:59:00+00,t,574306,6277713,2076
1.44403,43.5873,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Berthelot Urbain,FR50030,Urbaine,Fond,PM2.5,6001,6.2,ug.m-3,mensuelle,2023/09/01 00:00:00+00,2023/09/30 23:59:00+00,t,574306,6277713,2077
1.41518,43.6103,HAUTE-GARONNE,TOULOUSE,31555,Toulouse - Port de l Embouchure Trafic,FR50821,Urbaine,Trafic,PM2.5,6001,9.8,ug.m-3,mensuelle,2022/08/01 00:00:00+00,2022/08/31 23:59:00+00,t,572027,6280312,2087
0.718889,43.1064,HAUTE-GARONNE,SAINT-GAUDENS,31483,Saint Gaudens-Daurat Industriel,FR50016,Urbaine,Industrielle,SO2,1,0.5,ug.m-3,mensuelle,2023/10/01 00:00:00+00,2023/10/31 23:59:00+00,t,514197,6225698,2097
0.744722,43.0944,HAUTE-GARONNE,MIRAMONT-DE-COMMINGES,31344,Saint Gaudens-Miramont Industriel,FR50015,Urbaine,Industrielle,SO2,1,0.1,ug.m-3,mensuelle,2023/10/01 00:00:00+00,2023/10/31 23:59:00+00,t,516263,6224304,2098
0.718889,43.1064,HAUTE-GARONNE,SAINT-GAUDENS,31483,Saint Gaudens-Daurat Industriel,FR50016,Urbaine,Industrielle,H2S,11,1.6,ug.m-3,mensuelle,2023/10/01 00:00:00+00,2023/10/31 23:59:00+00,t,514197,6225698,2099
0.744722,43.0944,HAUTE-GARONNE,MIRAMONT-DE-COMMINGES,31344,Saint Gaudens-Miramont Industriel,FR50015,Urbaine,Industrielle,H2S,11,0.5,ug.m-3,mensuelle,2023/10/01 00:00:00+00,2023/10/31 23:59:00+00,t,516263,6224304,2100
1.46765,43.6431,HAUTE-GARONNE,TOULOUSE,31555,Toulouse - Rte Albi Trafic,FR50054,Urbaine,Trafic,PM2.5,6001,5.7,ug.m-3,mensuelle,2022/09/01 00:00:00+00,2022/09/30 23:59:00+00,t,576334,6283873,2102
1.37725,43.6253,HAUTE-GARONNE,BLAGNAC,31069,Blagnac Aéroport Piste ,FR50043,Périurbaine,Trafic,PM2.5,6001,7.1,ug.m-3,mensuelle,2022/11/01 00:00:00+00,2022/11/30 23:59:00+00,t,568999,6282041,2105
1.37725,43.6253,HAUTE-GARONNE,BLAGNAC,31069,Blagnac Aéroport Piste ,FR50043,Périurbaine,Trafic,PM2.5,6001,15.5,ug.m-3,mensuelle,2022/12/01 00:00:00+00,2022/12/31 23:59:00+00,t,568999,6282041,2108
1.37725,43.6253,HAUTE-GARONNE,BLAGNAC,31069,Blagnac Aéroport Piste ,FR50043,Périurbaine,Trafic,PM2.5,6001,11.2,ug.m-3,mensuelle,2023/01/01 00:00:00+00,2023/01/31 23:59:00+00,t,568999,6282041,2109
1.37725,43.6253,HAUTE-GARONNE,BLAGNAC,31069,Blagnac Aéroport Piste ,FR50043,Périurbaine,Trafic,PM2.5,6001,15.8,ug.m-3,mensuelle,2023/02/01 00:00:00+00,2023/02/28 23:59:00+00,t,568999,6282041,2110
